"Open";"High";"Low";"Close";"Volume";"Adjusted";"Date"
2063.5;2073.69995117188;2057.10009765625;2064.39990234375;61;2064.39990234375;"2024-01-02"
2034.19995117188;2044;2034.19995117188;2034.19995117188;54;2034.19995117188;"2024-01-03"
2041.59997558594;2044.5;2038;2042.30004882812;88;2042.30004882812;"2024-01-04"
2044.5;2048.10009765625;2042.40002441406;2042.40002441406;12;2042.40002441406;"2024-01-05"
2019.09997558594;2033.69995117188;2019.09997558594;2026.59997558594;10;2026.59997558594;"2024-01-08"
2035.80004882812;2035.80004882812;2026.40002441406;2026.40002441406;27;2026.40002441406;"2024-01-09"
2029;2035.59997558594;2021.69995117188;2021.69995117188;538;2021.69995117188;"2024-01-10"
2025.09997558594;2025.09997558594;2014.30004882812;2014.30004882812;97;2014.30004882812;"2024-01-11"
2031.09997558594;2057;2031.09997558594;2046.69995117188;390;2046.69995117188;"2024-01-12"
2051.69995117188;2054.80004882812;2026;2026;46;2026;"2024-01-16"
2026.5;2026.5;2002.59997558594;2002.59997558594;764;2002.59997558594;"2024-01-17"
2012.80004882812;2018.59997558594;2009.5;2018.59997558594;1474;2018.59997558594;"2024-01-18"
2023.19995117188;2036;2019.5;2026.5;50;2026.5;"2024-01-19"
2021.30004882812;2021.30004882812;2019.80004882812;2019.80004882812;12;2019.80004882812;"2024-01-22"
2030.30004882812;2030.30004882812;2022.5;2023.69995117188;15;2023.69995117188;"2024-01-23"
2023.19995117188;2033.19995117188;2013.90002441406;2013.90002441406;253;2013.90002441406;"2024-01-24"
2012.09997558594;2022.40002441406;2012.09997558594;2016.90002441406;548;2016.90002441406;"2024-01-25"
2021.69995117188;2022.40002441406;2016.80004882812;2016.80004882812;49;2016.80004882812;"2024-01-26"
2025.19995117188;2025.19995117188;2025.19995117188;2025.19995117188;150708;2025.19995117188;"2024-01-29"
2032.5;2048.5;2028.09997558594;2031.5;26907;2031.5;"2024-01-30"
2035.40002441406;2055;2030;2048.39990234375;2007;2048.39990234375;"2024-01-31"
2040.19995117188;2064.5;2029;2053;947;2053;"2024-02-01"
2054.80004882812;2055.89990234375;2027.69995117188;2036.09997558594;888;2036.09997558594;"2024-02-02"
2038.90002441406;2040.80004882812;2013.80004882812;2025.69995117188;412;2025.69995117188;"2024-02-05"
2025.90002441406;2037.30004882812;2025.90002441406;2034.5;249;2034.5;"2024-02-06"
2032.80004882812;2039.5;2032.69995117188;2035.19995117188;71;2035.19995117188;"2024-02-07"
2028;2036.69995117188;2020.30004882812;2032.19995117188;341;2032.19995117188;"2024-02-08"
2032;2032;2020;2023.30004882812;62;2023.30004882812;"2024-02-09"
2025.5;2025.5;2011.59997558594;2018.19995117188;317;2018.19995117188;"2024-02-12"
2025.09997558594;2025.80004882812;1990;1992.90002441406;198;1992.90002441406;"2024-02-13"
1990.30004882812;1993.5;1984.80004882812;1990.30004882812;1916;1990.30004882812;"2024-02-14"
1993.59997558594;2007.19995117188;1993.59997558594;2002.09997558594;286;2002.09997558594;"2024-02-15"
2005;2011.5;1996.5;2011.5;32;2011.5;"2024-02-16"
2015.59997558594;2029;2015.59997558594;2027.5;1326;2027.5;"2024-02-20"
2028.19995117188;2028.19995117188;2022.30004882812;2022.30004882812;15;2022.30004882812;"2024-02-21"
2033.19995117188;2033.19995117188;2019.69995117188;2019.69995117188;964;2019.69995117188;"2024-02-22"
2026;2038.59997558594;2014.90002441406;2038.59997558594;22;2038.59997558594;"2024-02-23"
2034.09997558594;2035.40002441406;2024.80004882812;2028.5;143;2028.5;"2024-02-26"
2035.90002441406;2035.90002441406;2034;2034;964;2034;"2024-02-27"
2029.5;2037;2024.80004882812;2033;581;2033;"2024-02-28"
2034.30004882812;2049.80004882812;2034.30004882812;2045.69995117188;706;2045.69995117188;"2024-02-29"
2043.09997558594;2086.89990234375;2041.80004882812;2086.89990234375;1210;2086.89990234375;"2024-03-01"
2083.60009765625;2119.80004882812;2080.69995117188;2117.69995117188;805;2117.69995117188;"2024-03-04"
2114.89990234375;2133.5;2111.39990234375;2133.5;1287;2133.5;"2024-03-05"
2125.5;2150.30004882812;2125.5;2150.30004882812;443;2150.30004882812;"2024-03-06"
2147;2163;2147;2158;152;2158;"2024-03-07"
2167.30004882812;2194.89990234375;2166.30004882812;2178.60009765625;259;2178.60009765625;"2024-03-08"
2181;2184;2177.19995117188;2182.5;738;2182.5;"2024-03-11"
2182.5;2182.69995117188;2160.39990234375;2160.39990234375;550;2160.39990234375;"2024-03-12"
2162.5;2175.39990234375;2162.5;2175.39990234375;20;2175.39990234375;"2024-03-13"
2163;2163;2162.30004882812;2163;515;2163;"2024-03-14"
